comment,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation,id
Ill vote for you if you forbid people that cannot hear to have driver licences. They are clearly threads,0.333333333,0,0,0,0,1,0,0,6417
If only there was a way to get children without having to get women pregnant we had them all ready killed,1,0,1,0,0,0,0,0,6418
Idiots as always. Religion is the most stupid thing you humans invented.,0,0,0,0,0,0,1,0,6419
I would beat the shit out of every Russian,0.666666667,0,0,0,1,0,0,0,6420
I notice that the LGBT cancer is starting to slowly affect SA countries like Japan.,0.333333333,0,0,0,0,0,0,1,6421
"I hate being a man, wish I was a lady and no man on earth existed",0,0,1,0,0,0,0,0,6422
"I guess God is white.... ",0,0.666666667,0,0.857142857,0,0,0.285714286,0,6423
I didn't know future gay gym teachers had to take AIDS tests.,0,0.666666667,0,0,0,0.285714286,0,0.857142857,6424
"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them.",0,0,1,0,0,0,0,0,6425
"Humans with third leg I hope to distinct soon, with much love",0.666666667,0,1,0,0,0,0,0,6426
How is it to have a kid acting like a sloth or like a pug dog? Isn’t it hard? In your place I’d put it in a dedicated institute for problematics and pay a visit each year at max,0,0.666666667,0,0,0,1,0,0,6427
How can Europe allow millions of rapists animals to go there ?,0,0,0,0.333333333,0.666666667,0,0,0,6428
How can anyone be converted forcebly? What profits Christianity. May be Hindu groups are jealous of Christians up coming. They want Christians to be Hindu goons. Who is that tied saffron on forehead. Is he gaurdian of Hinduism like Shankar Acharya or Vivekananda?,0,0,0.333333333,0,0,0,0.666666667,0,6429
HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.,1,0.333333333,1,0,0,0,0,0,6430
Hello I'm calling from tech support *with Indian accent*,0,0.333333333,0,0.333333333,0.666666667,0,0,0,6431
Go bleach yourself black pussy doll and then come talk to me,0.666666667,0.333333333,0,1,0,0,0,0,6432
"Generally speaking, most women are lazy and worthless not all, but most.",0,0,1,0,0,0,0,0,6433
fucking slut deserved it,0,1,1,0,0,0,0,0,6434
Fuck a freaking church brought together people. Well that’s power no matter fact,0,0.333333333,0,0,0,0,1,0,6435
France let them refugees in and this what happened fucking animals,0,0,0,0.333333333,0.666666667,0,0,0,6436
Every female-dominated job: low skill; minimal education required; not much physical exertion; indoors; tightly controlled hours.,0,0,1,0,0,0,0,0,6437
Easter is the most silly holiday ever existed. It must be stopped. Shame shame shame,0.333333333,0,0,0,0,0,1,0,6438
Do the world a favor and pour some bleach into that glass,1,1,0.666666667,0,0.333333333,0,0,0,6439
Disgusting sick queer kill yourself,0.666666667,0.666666667,0,0,0,0.666666667,0,0.333333333,6440
Disability centres all around the world. That’s were our money goes. Let’s take em down,0.666666667,0,0,0,0,1,0,0,6441
Come and kill my wife,1,1,1,0,0,0,0,0,6442
Catholicism is the beast that comes out of daniels dream interpretation.,0,0,0,0,0,0,1,0,6443
"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways",0,0,1,0,0,0,0,0,6444
"Believe me, whites are superior in every way to nips and Western countries are prosperous specifically because of those racial differences.",0,0,0,1,0,0,0,0,6445
"Anti-LGBT people ,How sad and ignorant...I cant believe it..How how ??? can they not see how STUPID they are?????",0,0.333333333,0.333333333,0,0,0,0,0.666666667,6446
All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles,0,0,0.571428571,0,0,0,0,0.571428571,6447
Actually THIS WEIRD PEOPLE are HARMFUL! They need medications. His mother should have know he is like this and to not deny it,0,1,0,0,0.333333333,0.666666667,0,0,6448
ABU DA BI ABA DU BA BA HAMUD! See? I’m an arab priest too. This is how they sound. right? They are jokes,0,0,0,0.285714286,0,0,0.857142857,0,6449
a homo? so you fuck your brother instead of your sister?,0,0.666666667,0,0,0,0,0,1,6450
(((They))) will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots,0.333333333,0,0,0.666666667,0,0,0.333333333,0,6451
